ln_seq_number,Ln,credit_score,first_time_homebuyer_flag,mi_percent,unit_cnt,occupancy_status,orig_cltv,orig_debt_to_inc,orig_ltv,orig_int_rate,property_st,property_type,ln_purpose,curr_ln_delq_stas
F112Q2009004,362,706,N,0,1,P,80,44,80,4,PA,SF,P,0
F112Q2010380,363,785,N,0,1,I,72,44,72,4,ME,SF,N,0
F112Q2012121,364,801,N,0,1,P,80,18,80,4,GA,PU,P,0
F112Q2008591,365,755,N,0,1,P,42,12,42,4,OR,MH,P,0
F112Q2010392,366,769,N,30,1,P,95,24,95,4,NM,SF,P,0
F112Q2012502,367,763,N,30,1,P,95,29,95,4,IA,SF,P,0
F112Q2008718,368,689,N,0,1,P,77,42,77,4,NY,SF,N,0
F112Q2012883,369,796,N,30,1,P,95,35,95,5,WA,SF,N,0
F112Q2010731,370,775,Y,25,1,P,90,32,90,4,NY,SF,P,0
F112Q2008249,371,773,N,0,1,P,80,45,80,4,CA,SF,P,0
F112Q2009200,372,779,N,25,1,P,90,31,90,4,PA,SF,P,0
F112Q2010279,373,809,N,0,1,P,49,29,49,4,WI,SF,N,0
F112Q2011742,374,813,N,0,1,P,19,25,19,4,HI,PU,C,0
F112Q2008992,375,721,N,0,1,P,41,24,41,4,MI,SF,C,0
F112Q2008555,376,733,N,0,1,P,38,27,38,4,CA,SF,N,0
F112Q2008534,377,759,N,0,1,P,62,31,62,4,WI,SF,N,0
F112Q2012865,378,670,N,0,1,P,70,42,69,5,MA,SF,C,0
F112Q2011511,379,727,Y,0,1,P,80,40,80,4,IL,CO,P,0
F112Q2011662,380,684,N,0,1,P,80,33,80,4,OH,SF,N,0
F112Q2012607,381,787,N,0,1,P,65,50,65,4,NY,PU,P,0
F112Q2010147,382,770,N,0,1,P,80,22,80,4,TX,PU,P,0
F112Q2012620,383,793,N,0,1,P,69,45,69,4,GA,SF,C,0
F112Q2010060,384,750,N,0,1,P,63,30,63,4,CA,SF,N,0
F112Q2009842,385,775,N,25,1,P,90,35,90,4,MN,SF,N,0
F112Q2012363,386,765,Y,30,1,P,95,21,95,4,OR,PU,P,0
F112Q2008398,387,770,N,0,1,P,66,21,66,4,OR,SF,N,0
F112Q2011315,388,716,N,0,1,P,80,32,80,4,KY,PU,P,0
F112Q2009242,389,793,N,0,1,P,63,48,63,4,KY,PU,N,0
F112Q2012825,390,752,N,0,1,P,42,43,42,4,NH,SF,C,0
F112Q2012471,391,684,N,0,1,P,80,23,80,4,NY,SF,P,0
F112Q2008900,392,774,N,0,1,P,75,27,75,4,CA,SF,N,0
F112Q2008170,393,779,N,12,1,P,84,27,84,4,OH,SF,N,1
F112Q2011839,394,745,N,0,1,P,75,39,75,4,FL,PU,P,0
F112Q2010261,395,791,N,0,1,P,72,21,72,4,UT,SF,C,0
F112Q2012379,396,802,N,0,1,P,65,25,48,4,MA,SF,N,0
F112Q2012185,397,723,N,30,1,P,95,43,95,5,TX,PU,P,0
F112Q2009747,398,768,N,25,1,P,90,38,90,4,NC,SF,P,0
F112Q2009806,399,759,N,0,1,P,70,43,70,4,VA,SF,C,0
F112Q2010194,400,710,N,0,1,P,75,36,75,4,TN,SF,C,0
F112Q2012210,401,803,N,0,1,P,46,40,46,4,NH,CO,N,0
F112Q2012978,402,788,N,0,1,P,59,45,59,4,CA,SF,C,0
F112Q2012577,403,791,N,0,1,P,79,36,79,4,MN,CO,P,0
F112Q2011333,404,787,N,0,1,P,80,21,80,4,IN,SF,N,0
F112Q2009153,405,760,N,0,1,I,62,19,62,5,MI,SF,P,0
F112Q2010740,406,726,N,0,1,P,80,31,80,4,IN,SF,N,0
F112Q2008313,407,751,N,0,1,P,76,24,76,4,IL,SF,N,0
F112Q2008479,408,787,N,30,1,P,94,38,94,4,WI,SF,N,0
F112Q2008897,409,807,N,0,1,P,60,25,60,4,CA,SF,N,0
F112Q2008437,410,798,N,0,1,P,61,47,61,4,WA,PU,C,0
F112Q2008629,411,794,N,0,1,I,66,49,66,4,NC,PU,C,0
F112Q2012352,412,769,N,0,1,P,44,28,44,4,NJ,SF,N,0
F112Q2009740,413,805,N,0,1,P,52,17,52,4,MA,SF,N,0
F112Q2012315,414,731,N,0,1,P,75,48,75,5,PA,SF,C,0
F112Q2009460,415,797,N,0,1,P,80,14,80,4,OH,SF,N,0
F112Q2010707,416,749,N,0,1,P,64,29,64,4,NC,PU,P,0
F112Q2011478,417,700,Y,30,1,P,94,42,94,4,CA,SF,P,0
F112Q2010343,418,791,N,0,1,P,44,34,44,4,MA,SF,C,0
F112Q2008362,419,787,N,0,1,P,72,32,65,4,IA,SF,N,0
F112Q2008891,420,767,N,0,1,I,73,24,73,4,CA,SF,N,0
F112Q2011353,421,741,N,12,1,P,88,33,88,4,KY,PU,N,0
F112Q2008931,422,813,Y,0,1,P,75,36,75,4,VA,CO,P,0
F112Q2011482,423,779,N,0,1,P,64,49,64,4,KY,PU,N,0
F112Q2011990,424,794,N,0,1,P,59,35,59,4,WI,SF,C,0
F112Q2011655,425,757,Y,30,1,P,95,29,95,4,KY,SF,P,0
F112Q2010332,426,803,N,0,1,P,80,36,64,4,NC,SF,C,0
F112Q2008116,427,764,N,0,1,P,48,18,48,4,NC,PU,N,0
F112Q2009903,428,757,N,0,1,P,74,37,74,4,CO,SF,N,0
F112Q2008047,429,779,N,0,1,P,64,25,64,4,ND,SF,C,0
F112Q2011335,430,809,Y,25,1,P,90,28,90,4,MA,SF,P,0
F112Q2009698,431,776,N,0,1,S,68,22,68,4,WI,SF,N,0
F112Q2012973,432,777,N,0,1,P,77,50,77,4,HI,PU,N,0
F112Q2010413,433,795,N,0,1,P,80,38,80,4,NM,SF,P,0
F112Q2009950,434,791,N,0,1,S,75,19,65,4,DE,PU,P,0
F112Q2010398,435,778,N,0,1,P,62,25,62,4,IN,SF,C,0
F112Q2008120,436,651,N,0,1,P,58,41,58,4,DE,SF,C,1
F112Q2009717,437,774,N,0,1,P,75,17,75,4,ME,SF,N,0
F112Q2012955,438,768,N,0,1,P,57,26,57,4,CA,PU,C,0
F112Q2009772,439,759,N,0,1,P,74,49,53,4,VA,PU,C,0
F112Q2008162,440,690,N,30,1,P,95,42,95,4,OH,SF,P,1
F112Q2011866,441,805,N,0,1,P,80,30,80,4,VA,PU,N,0
F112Q2011036,442,814,N,0,1,P,75,50,75,4,KY,PU,P,0
F112Q2011983,443,813,N,0,1,P,39,42,39,4,WA,SF,C,0
F112Q2009668,444,735,N,0,1,I,48,36,48,4,CA,SF,C,0
F112Q2008141,445,800,N,0,1,P,53,39,53,4,NY,SF,N,1
F112Q2011181,446,754,N,0,1,P,75,33,75,4,IL,SF,N,0
F112Q2012018,447,790,N,0,1,P,55,45,55,4,KY,SF,C,0
F112Q2012052,448,760,N,0,1,S,21,18,21,4,MA,SF,N,0
F112Q2009787,449,776,N,0,1,P,88,45,80,4,MI,SF,N,0
F112Q2008301,450,792,N,0,1,P,66,17,66,4,CA,CO,C,0
F112Q2008982,451,804,N,0,1,P,62,30,62,4,MD,SF,C,0
F112Q2008297,452,790,N,30,1,P,95,38,95,4,MN,SF,P,0
F112Q2009875,453,808,N,0,1,P,46,45,46,4,IL,CO,N,0
F112Q2009373,454,713,N,30,1,P,95,40,95,5,VA,SF,P,0
F112Q2010512,455,746,N,30,1,P,95,29,95,4,NY,SF,P,0
F112Q2009473,456,798,N,0,1,P,79,21,79,4,AR,PU,P,0
F112Q2009277,457,770,N,0,2,P,66,46,66,4,CA,SF,N,0
F112Q2009577,458,718,N,0,1,P,71,43,57,4,CA,SF,N,0
F112Q2010499,459,796,N,0,1,P,80,22,68,4,OR,SF,N,0
F112Q2011550,460,802,Y,0,1,P,72,15,72,4,IL,CO,P,0
F112Q2008459,461,808,N,0,1,S,80,17,80,4,MO,SF,P,0
F112Q2011021,462,808,N,0,1,P,72,16,72,4,OH,SF,N,0
F112Q2010954,463,785,N,0,1,P,88,25,80,4,OH,SF,N,0
F112Q2012892,464,742,Y,0,1,P,80,43,80,4,WI,SF,P,0
F112Q2010201,465,785,N,0,1,P,80,34,65,4,VA,SF,P,0
F112Q2010752,466,798,N,0,1,P,65,23,61,4,MO,PU,N,0
F112Q2008609,467,776,N,0,1,P,80,26,80,4,CA,PU,P,0
F112Q2012859,468,806,N,12,1,P,82,29,82,4,IN,SF,N,0
F112Q2009821,469,781,Y,0,1,P,44,14,44,4,KS,PU,P,0
F112Q2010484,470,798,N,0,1,P,35,35,35,4,MN,SF,N,0
F112Q2009389,471,772,N,0,1,P,72,17,72,4,WI,SF,P,0
F112Q2009027,472,807,N,0,1,P,80,41,80,4,IL,SF,C,0
F112Q2011229,473,756,N,0,1,P,75,19,75,4,MA,CO,N,0
F112Q2009148,474,739,N,25,1,P,90,33,90,4,IL,SF,P,0
F112Q2008916,475,808,N,0,1,P,80,46,80,4,AZ,PU,P,0
F112Q2012045,476,799,N,0,1,P,68,32,68,4,OR,SF,C,0
F112Q2009707,477,794,Y,25,1,P,90,25,90,4,UT,SF,P,0
F112Q2008072,478,739,N,0,1,P,67,27,67,4,CT,SF,N,0
F112Q2008791,479,799,N,0,1,P,47,32,47,4,TN,PU,C,0
F112Q2011767,480,728,N,30,1,P,95,38,95,4,UT,SF,N,0
F112Q2008762,481,730,Y,25,1,P,90,50,90,4,MO,PU,P,1
F112Q2011092,482,739,N,0,1,P,53,43,41,4,OH,SF,N,0
F112Q2011712,483,774,N,0,2,I,75,27,75,5,WI,SF,N,0
F112Q2010317,484,720,N,0,1,P,80,43,80,4,CA,SF,C,0
F112Q2012230,485,747,N,0,2,P,78,26,78,4,WI,SF,N,0
F112Q2011521,486,797,Y,30,1,P,95,39,95,4,GA,SF,P,0
F112Q2011274,487,800,N,30,1,P,95,34,95,4,IN,PU,P,0
F112Q2009809,488,757,N,0,1,P,86,37,75,4,MA,CO,N,0
F112Q2010514,489,725,N,30,1,P,95,40,95,4,NY,SF,P,0
F112Q2011325,490,775,N,0,1,P,79,17,79,4,KY,SF,N,0
F112Q2009573,491,804,N,30,1,P,95,36,95,4,OH,SF,P,0
F112Q2012042,492,817,N,0,1,P,80,24,80,4,NE,SF,N,0
F112Q2009693,493,761,N,0,1,P,80,22,80,4,CA,SF,N,0
F112Q2009257,494,779,N,0,1,P,70,34,70,4,OR,SF,N,0
F112Q2012177,495,784,N,0,1,P,80,32,80,4,NH,SF,P,0
F112Q2012698,496,763,N,0,1,P,73,50,73,4,UT,SF,C,0
F112Q2011459,497,779,N,0,1,P,80,23,80,4,TN,PU,P,0
F112Q2012565,498,712,N,0,1,P,77,49,77,4,KY,SF,N,0
F112Q2012411,499,706,N,0,1,P,54,26,54,4,NJ,SF,C,0
F112Q2012102,500,786,N,0,1,I,80,44,80,4,MD,SF,P,0
F112Q2011552,501,716,N,30,1,P,95,44,95,5,NJ,CO,P,1
F112Q2012938,502,732,N,0,1,P,75,30,75,5,MD,SF,C,0
F112Q2011098,503,760,N,0,1,P,77,42,77,4,WA,SF,N,0
F112Q2011428,504,817,N,0,1,P,49,30,49,4,MA,SF,N,0
F112Q2012589,505,770,N,0,1,P,70,37,70,4,TX,PU,C,0
F112Q2009527,506,808,N,0,1,P,43,29,43,4,KY,CO,N,0
F112Q2012594,507,783,N,0,1,I,41,39,41,5,CA,SF,C,0
F112Q2011761,508,786,N,0,1,P,80,35,80,4,CO,PU,C,0
F112Q2011924,509,779,N,0,1,P,80,21,80,4,GA,SF,C,0
F112Q2008478,510,766,Y,0,1,P,56,50,56,4,TX,SF,P,0
F112Q2011028,511,765,N,0,1,P,81,37,79,4,OH,SF,N,0
F112Q2011379,512,689,N,25,1,P,89,43,89,4,NJ,SF,N,0
F112Q2010581,513,782,N,30,1,P,95,40,95,4,MA,SF,P,0
F112Q2009791,514,775,N,0,1,P,79,23,79,4,MO,SF,C,0
F112Q2010538,515,786,N,0,1,P,80,21,80,4,WI,SF,N,0
F112Q2009354,516,786,N,0,1,P,59,22,59,4,KS,PU,N,0
F112Q2010304,517,676,N,0,1,P,80,16,80,4,WA,SF,P,0
F112Q2008924,518,767,N,0,1,P,29,45,29,4,ID,PU,C,0
F112Q2011052,519,691,N,25,1,P,90,29,90,5,OH,SF,P,0
F112Q2008191,520,782,N,0,1,P,72,44,72,4,MO,SF,C,0
F112Q2010270,521,734,N,25,1,P,88,28,88,4,WI,SF,N,0
F112Q2012431,522,727,N,0,1,P,40,27,40,4,CA,SF,C,1
F112Q2011300,523,786,N,0,1,P,75,22,75,4,OH,SF,P,0
F112Q2009839,524,785,N,0,1,P,80,36,80,4,MN,PU,P,0
F112Q2010811,525,757,N,0,1,P,63,30,63,4,GA,SF,C,0
F112Q2009396,526,714,N,0,1,P,71,27,71,4,OH,SF,N,0
F112Q2010868,527,790,N,0,1,P,80,16,80,4,MO,SF,P,0
F112Q2012152,528,808,N,0,1,P,80,47,80,4,MN,SF,P,0
F112Q2010237,529,714,N,0,1,P,45,40,45,5,PA,SF,C,0
F112Q2011538,530,796,N,0,1,I,60,14,60,5,CA,SF,N,0
F112Q2011858,531,780,Y,30,1,P,95,23,95,4,CO,SF,P,0
F112Q2011040,532,786,N,0,1,P,58,17,58,4,GA,SF,N,0
F112Q2011441,533,726,N,30,1,P,94,35,94,4,CO,SF,P,0
F112Q2011910,534,747,N,0,1,P,76,20,76,4,CA,SF,N,0
F112Q2009342,535,685,N,0,1,P,33,14,33,4,NJ,SF,N,0
F112Q2010146,536,791,N,0,1,P,74,19,74,4,TX,SF,N,0
F112Q2009157,537,754,N,0,1,I,80,37,80,5,CA,SF,P,0
F112Q2011105,538,744,N,30,1,P,95,38,95,4,TN,PU,P,0
F112Q2010426,539,765,N,0,1,P,47,16,47,4,MI,SF,N,0
F112Q2010081,540,797,N,0,1,S,75,27,75,4,AZ,SF,N,0
F112Q2009579,541,801,N,0,1,P,75,25,75,4,VA,PU,N,0
F112Q2009042,542,764,N,0,1,P,85,41,75,4,MA,SF,N,0
F112Q2011549,543,751,N,0,1,P,85,40,75,4,IL,CO,P,0
F112Q2010159,544,777,N,0,1,I,75,23,75,5,MN,SF,P,1
F112Q2010830,545,769,N,0,1,P,62,36,62,4,KY,SF,N,0
F112Q2011558,546,802,N,0,1,P,62,22,62,4,OH,SF,C,0
F112Q2010542,547,755,N,0,1,P,80,40,80,4,VT,SF,P,0
F112Q2011175,548,784,Y,0,1,P,80,15,80,4,MI,CO,P,0
F112Q2011491,549,778,N,0,1,P,44,9,44,4,KY,PU,P,1
F112Q2008251,550,763,N,0,1,I,75,41,75,5,IN,SF,P,0
F112Q2012344,551,808,N,0,1,P,53,19,36,4,CA,SF,N,0
F112Q2008428,552,746,N,0,1,P,91,40,77,4,MA,SF,N,0
F112Q2010029,553,771,N,0,1,P,80,33,80,4,IA,SF,P,0
F112Q2009372,554,800,N,0,2,I,52,36,52,4,UT,SF,N,0
F112Q2012966,555,787,N,0,1,P,73,23,73,4,VA,SF,N,0
F112Q2011732,556,768,N,25,1,P,86,21,86,4,MO,SF,N,0
F112Q2008939,557,786,N,0,1,P,44,36,39,4,MD,PU,N,1
F112Q2010243,558,799,N,0,1,P,70,41,70,4,WI,SF,C,0
F112Q2008664,559,802,N,0,1,P,75,42,75,4,VA,PU,N,0
F112Q2008199,560,749,N,0,1,P,70,28,70,4,OH,SF,N,0
F112Q2011709,561,771,N,0,1,P,80,30,80,4,OH,SF,C,0
F112Q2009264,562,800,N,0,1,P,80,37,80,4,MO,PU,N,0
F112Q2009855,563,707,N,0,1,P,61,27,52,4,MA,SF,N,0
F112Q2010475,564,782,N,0,1,P,74,24,74,4,MA,SF,N,0
F112Q2009107,565,782,N,0,1,P,80,35,74,4,VA,PU,N,0
F112Q2011137,566,779,N,0,1,P,80,31,80,4,FL,SF,N,0
F112Q2009284,567,762,N,0,1,I,75,44,75,4,NC,SF,C,1
F112Q2009732,568,785,N,0,1,P,50,16,50,4,NY,SF,C,0
F112Q2009338,569,700,N,0,1,P,74,40,66,4,MA,SF,C,0
F112Q2009483,570,763,N,0,1,P,80,48,68,4,VA,PU,P,0
F112Q2009002,571,786,N,0,1,P,78,6,78,4,MA,SF,C,0
F112Q2011409,572,787,N,0,1,P,80,44,60,4,CT,SF,P,1
F112Q2010734,573,802,N,0,1,P,58,23,58,4,RI,CO,P,0
F112Q2009639,574,765,N,0,1,P,59,30,59,4,NH,SF,P,0
F112Q2008419,575,802,N,0,1,P,80,8,80,4,OH,SF,C,0
F112Q2008576,576,754,Y,25,1,P,92,26,92,4,NY,SF,P,0
F112Q2011256,577,784,N,0,2,I,65,43,65,5,CA,SF,N,0
F112Q2012215,578,798,N,0,1,P,67,43,67,4,WA,SF,N,0
F112Q2009771,579,641,N,0,1,P,54,23,54,4,MI,SF,C,0
F112Q2009260,580,777,N,0,1,S,70,17,37,4,ID,PU,P,0
F112Q2012756,581,788,N,0,1,P,60,37,60,4,WA,SF,C,0
F112Q2008972,582,758,N,0,1,P,89,36,75,4,MA,SF,N,0
F112Q2008484,583,743,N,0,1,S,80,43,80,4,MA,SF,P,0
F112Q2008682,584,801,N,0,1,P,75,30,75,4,VT,SF,C,0
F112Q2008858,585,760,N,0,1,P,70,32,70,4,AZ,SF,C,0
F112Q2008684,586,785,N,0,1,P,78,25,78,4,TX,PU,P,0
F112Q2009494,587,806,N,0,1,P,80,42,80,4,IL,CO,N,0
F112Q2008909,588,791,N,0,1,S,61,27,61,4,WI,SF,N,0
F112Q2012520,589,750,N,0,1,P,71,39,71,4,UT,SF,C,0
F112Q2012921,590,760,N,0,1,P,80,41,80,4,WI,CO,C,0
F112Q2011118,591,765,N,0,1,P,28,23,28,4,MA,SF,C,0
F112Q2008957,592,797,Y,0,1,P,80,43,80,4,NY,SF,P,0
F112Q2008227,593,715,N,0,1,I,75,50,75,4,IL,SF,P,0
F112Q2008721,594,697,N,0,1,P,80,43,80,4,OH,SF,P,0
F112Q2009181,595,783,N,30,1,P,95,30,95,4,MN,PU,P,0
F112Q2008961,596,723,N,30,1,P,95,39,95,4,NY,SF,P,0
F112Q2009147,597,781,N,0,1,P,80,33,67,4,NH,SF,C,0
F112Q2009803,598,672,Y,0,1,P,80,30,80,5,TX,PU,P,0
F112Q2011439,599,779,N,0,1,P,75,40,75,4,ME,SF,C,0
F112Q2011162,600,755,N,30,1,P,95,35,95,4,OH,SF,P,0
F112Q2012726,601,699,N,0,1,P,85,47,75,5,CT,SF,N,0
F112Q2008360,602,771,N,0,1,P,65,15,65,4,TN,PU,C,0
F112Q2011471,603,755,N,30,1,P,95,29,95,4,PA,PU,P,0
F112Q2010627,604,720,N,0,2,I,70,43,70,5,OR,SF,C,0
F112Q2012120,605,794,N,0,1,P,64,41,64,4,NJ,SF,P,0
F112Q2010432,606,809,N,0,1,P,58,14,58,4,TN,PU,N,0
F112Q2012285,607,756,N,0,1,P,87,32,80,4,AR,PU,N,0
F112Q2011961,608,789,N,0,1,P,73,38,73,4,NJ,SF,C,0
F112Q2012572,609,812,N,0,1,P,80,30,80,5,DC,SF,P,0
F112Q2011332,610,769,Y,30,1,P,95,26,95,4,NY,SF,P,0
F112Q2009960,611,801,N,0,1,P,74,49,46,4,CA,PU,C,0
F112Q2010246,612,780,N,0,1,P,80,15,80,4,WI,SF,P,0
F112Q2008222,613,755,N,12,1,P,82,28,82,4,AR,SF,N,0
F112Q2010163,614,756,Y,30,1,P,95,20,95,4,OH,SF,P,0
F112Q2008400,615,700,N,0,1,P,63,32,63,4,KS,SF,P,0
F112Q2009874,616,797,N,0,1,P,70,46,70,4,MN,SF,P,0
F112Q2008816,617,747,Y,0,1,P,80,33,80,4,VA,PU,P,0
F112Q2008932,618,719,N,0,1,I,68,39,68,4,NC,SF,N,0
F112Q2009238,619,740,N,0,1,P,66,37,66,4,KY,SF,C,0
F112Q2009523,620,817,N,0,1,P,50,33,50,4,NC,SF,N,0
F112Q2011972,621,790,N,0,1,P,80,15,80,4,MA,SF,P,0
F112Q2012501,622,698,N,0,1,P,43,44,43,4,KS,PU,C,0
F112Q2009878,623,747,N,0,1,S,68,42,68,4,FL,SF,P,0
F112Q2011112,624,801,N,0,1,P,64,22,64,4,IL,PU,N,0
F112Q2009079,625,772,N,25,1,P,90,36,90,4,MA,SF,P,0
F112Q2009823,626,637,N,0,1,P,84,31,80,4,MI,SF,N,0
F112Q2010733,627,751,Y,30,1,P,92,47,92,4,MO,SF,P,0
F112Q2008270,628,793,N,0,1,P,69,36,69,4,WA,SF,N,0
F112Q2010625,629,772,N,0,1,P,80,35,80,4,ID,SF,C,0
F112Q2012115,630,806,N,0,1,P,77,36,44,4,CA,PU,N,0
F112Q2012323,631,684,Y,0,1,P,80,37,80,5,HI,SF,P,0
F112Q2009344,632,732,N,0,1,P,74,30,74,4,GA,SF,N,0
F112Q2009830,633,813,N,0,2,I,70,43,70,5,WI,SF,C,0
F112Q2010757,634,769,N,0,1,P,89,25,75,4,MA,SF,N,0
F112Q2011572,635,700,N,0,1,P,62,44,62,4,MA,SF,N,0
F112Q2010523,636,682,N,12,1,P,84,24,84,4,KY,PU,N,0
F112Q2008092,637,737,N,0,1,P,56,46,56,4,GA,SF,C,0
F112Q2010547,638,787,N,0,1,P,79,46,79,4,SC,SF,N,0
F112Q2012794,639,697,N,0,1,P,81,38,75,4,CT,SF,N,0
F112Q2011653,640,798,N,0,1,P,58,8,58,4,NM,SF,C,0
F112Q2012783,641,776,N,0,1,I,52,47,52,5,UT,SF,N,0
F112Q2011781,642,799,N,0,1,P,49,30,49,4,CA,PU,N,0
F112Q2008157,643,785,N,0,1,P,65,47,65,4,CT,SF,C,1
F112Q2011564,644,724,N,0,1,P,75,14,63,4,PA,PU,N,0
F112Q2009262,645,813,N,0,1,P,48,18,48,4,MN,SF,N,0
F112Q2011889,646,759,N,0,1,P,65,43,65,4,IL,SF,N,0
F112Q2011698,647,800,Y,30,1,P,95,33,95,4,TX,PU,P,0
F112Q2012429,648,740,N,12,1,P,83,34,83,4,OK,SF,N,0
F112Q2012545,649,806,N,0,1,S,74,19,74,4,MI,SF,P,0
F112Q2010016,650,722,N,0,1,S,68,18,68,4,MI,SF,C,0
F112Q2009312,651,771,Y,0,1,P,80,34,80,4,KY,SF,P,0
F112Q2011708,652,778,N,0,1,P,65,48,64,4,MA,SF,N,0
F112Q2012686,653,745,N,0,1,I,72,20,72,4,TX,SF,P,0
F112Q2011876,654,737,N,0,1,I,80,26,80,5,TN,SF,P,0
F112Q2010299,655,814,N,0,1,P,57,31,57,4,VA,PU,C,0
F112Q2010956,656,686,Y,25,1,P,90,26,90,4,IL,PU,P,0
F112Q2010630,657,760,Y,30,1,P,95,36,95,4,CA,CO,P,0
F112Q2008205,658,722,Y,30,1,P,95,31,95,5,VA,PU,P,0
F112Q2012274,659,784,N,0,1,P,74,43,74,4,WA,PU,C,0
F112Q2012832,660,817,N,0,1,P,80,34,80,4,MI,SF,N,0
F112Q2010507,661,695,N,25,1,P,90,37,90,4,NC,SF,P,0
F112Q2012492,662,752,N,30,1,P,95,37,95,4,TX,PU,P,0
F112Q2011481,663,767,N,0,1,P,72,40,72,4,IL,CO,P,0
F112Q2008386,664,796,N,0,1,P,80,41,80,4,IL,SF,P,0
F112Q2012348,665,746,N,0,1,P,68,27,68,4,CA,SF,N,0
F112Q2012476,666,796,N,0,1,P,96,46,96,4,MN,SF,N,0
F112Q2010652,667,785,N,0,1,P,70,26,70,4,PA,SF,P,0
F112Q2009044,668,742,N,0,1,P,90,28,68,4,PA,PU,P,0
F112Q2011759,669,701,N,0,1,P,74,48,74,4,OR,SF,N,0
F112Q2010102,670,745,Y,0,1,P,80,44,80,4,VA,SF,P,0
F112Q2010149,671,796,Y,25,1,P,90,23,90,4,TX,PU,P,0
F112Q2008657,672,801,Y,0,1,P,80,20,80,4,GA,PU,P,0
F112Q2011143,673,675,N,0,1,P,68,33,68,4,OH,SF,P,0
F112Q2010773,674,752,N,0,1,P,57,38,57,4,CT,SF,C,0
F112Q2008139,675,671,N,0,1,P,80,48,80,4,NC,SF,P,1
F112Q2011897,676,736,N,0,1,P,80,47,80,5,CA,SF,P,0
F112Q2011219,677,762,N,0,1,I,69,20,69,4,TN,SF,C,0
F112Q2012533,678,754,N,0,1,P,71,28,71,4,MA,SF,N,0
F112Q2011680,679,766,N,0,1,P,74,41,74,4,VA,CO,N,0
F112Q2008996,680,817,N,0,1,P,75,49,75,4,IL,SF,C,0
F112Q2009607,681,806,N,0,1,S,70,36,70,4,DE,PU,N,0
F112Q2012116,682,690,N,0,1,P,46,32,46,4,NJ,SF,N,0
F112Q2011331,683,776,N,0,1,P,64,22,64,4,KY,SF,N,0
F112Q2012331,684,741,N,0,1,P,52,29,52,4,CA,SF,N,0
F112Q2011110,685,779,N,0,1,P,90,31,80,4,PA,SF,N,0
F112Q2012773,686,736,N,0,1,P,79,44,75,4,CA,CO,N,0
F112Q2008949,687,784,N,0,1,P,76,44,76,4,NC,SF,C,0
F112Q2011312,688,765,N,0,1,P,80,30,80,4,IL,SF,P,0
F112Q2012448,689,786,N,0,1,P,64,22,64,4,CT,SF,N,0
F112Q2011642,690,798,N,0,1,P,80,20,80,4,IN,SF,P,0
F112Q2012499,691,789,N,0,1,P,80,33,80,4,IN,PU,N,0
F112Q2011636,692,737,N,30,1,P,95,43,95,4,TN,SF,P,0
F112Q2008686,693,715,N,0,1,I,80,38,80,5,HI,CO,P,0
F112Q2012402,694,716,N,0,1,P,63,42,63,4,NH,SF,N,0
F112Q2010206,695,787,N,0,1,P,78,24,75,4,IL,SF,N,0
F112Q2012781,696,757,N,0,1,P,80,23,80,4,WI,SF,N,0
F112Q2012005,697,791,N,0,1,P,80,14,80,4,KS,PU,P,0
F112Q2009385,698,750,N,0,1,P,93,44,93,4,VA,SF,N,0
F112Q2009459,699,767,N,25,1,P,90,25,90,4,MO,PU,N,0
F112Q2008226,700,773,N,0,1,P,62,34,62,4,VA,SF,C,0
F112Q2012220,701,777,N,0,1,P,75,33,75,4,KY,SF,N,0
F112Q2010838,702,765,N,30,1,P,95,39,95,4,WV,SF,P,0
F112Q2009667,703,663,N,0,1,P,54,27,54,4,UT,SF,C,0
F112Q2011787,704,816,N,0,1,S,72,38,72,4,WA,SF,N,0
F112Q2012873,705,796,N,0,1,P,38,21,38,4,MN,SF,C,0
F112Q2010373,706,755,N,0,1,P,73,34,73,4,MA,CO,C,0
F112Q2011245,707,776,N,0,1,P,80,37,80,4,ID,SF,P,0
F112Q2012470,708,810,N,0,1,P,36,16,36,4,ID,SF,C,0
F112Q2009490,709,816,N,0,1,P,62,15,62,4,WI,SF,C,0
F112Q2009692,710,759,N,0,1,P,79,47,79,4,MA,CO,N,0
F112Q2012633,711,709,N,0,1,P,72,37,72,4,AK,SF,C,0
F112Q2009019,712,797,N,0,1,P,80,33,80,4,MA,SF,N,0
F112Q2011699,713,655,N,0,1,P,44,29,44,4,IN,PU,C,0
F112Q2011896,714,639,N,0,1,P,33,36,33,4,KY,SF,C,0
F112Q2009303,715,812,N,0,1,P,38,24,38,4,CA,SF,C,0
F112Q2012611,716,695,N,0,1,P,78,36,78,4,OR,SF,N,0
F112Q2011524,717,788,N,30,1,P,91,29,91,4,IL,SF,N,0
F112Q2008697,718,797,N,0,1,I,80,42,80,5,NV,SF,P,0
F112Q2012835,719,775,N,0,1,P,80,41,80,4,NY,SF,P,0
F112Q2008569,720,786,N,0,1,P,69,22,69,4,TX,SF,N,0
F112Q2010284,721,798,N,0,1,P,75,45,75,4,FL,SF,N,0
F112Q2011130,722,797,N,0,1,P,80,17,75,4,OH,SF,N,0
F112Q2011795,723,781,N,0,1,I,75,18,75,5,CA,SF,N,0
F112Q2012850,724,805,N,30,1,P,89,32,89,4,IN,PU,N,0
F112Q2012682,725,803,Y,0,1,P,48,32,48,4,NY,SF,P,0
